Continuous deployment,2010-01-01,Techniques,1,Assess
Incremental data warehousing,2010-01-01,Techniques,2,Assess
Evolutionary architecture,2010-01-01,Techniques,3,Assess
Evolutionary database,2010-01-01,Techniques,4,Trial
Web as platform,2010-01-01,Techniques,5,Trial
Emergent design,2010-01-01,Techniques,6,Trial
Lean software development,2010-01-01,Techniques,7,Trial
Build pipelines,2010-01-01,Techniques,8,
User centered design,2010-01-01,Techniques,9,
Visualization & metrics,2010-01-01,Tools,10,
IE6 end of life,2010-01-01,Tools,11,Adopt
ASP.NET MVC,2010-01-01,Tools,12,Adopt
Next-generation test tools,2010-01-01,Tools,13,
Subversion,2010-01-01,Tools,14,Trial
Distributed version control,2010-01-01,Tools,15,Trial
Google Wave,2010-01-01,Tools,16,Hold
Language workbenches,2010-01-01,Tools,17,Hold
Polyglot development environments,2010-01-01,Tools,18,Hold
Android,2010-01-01,Platforms,25,
JVM as platform,2010-01-01,Platforms,26,Adopt
Firefox,2010-01-01,Platforms,27,Adopt
Cloud,2010-01-01,Platforms,28,Adopt
iPhone,2010-01-01,Platforms,29,Adopt
HTML 5,2010-01-01,Platforms,30,
Non-relational databases,2010-01-01,Platforms,31,
Rich Internet applications,2010-01-01,Platforms,32,Assess
RDF & SPARQL,2010-01-01,Platforms,33,Assess
Google as corporate platform,2010-01-01,Platforms,34,Assess
Location based services,2010-01-01,Platforms,35,Assess
Chrome OS,2010-01-01,Platforms,36,Assess
Chrome,2010-01-01,Platforms,37,Assess
IE8,2010-01-01,Platforms,38,
C# 4.0,2010-01-01,Languages,19,Assess
Java language end of life,2010-01-01,Languages,20,Assess
Functional languages,2010-01-01,Languages,21,Assess
Concurrent languages,2010-01-01,Languages,22,Assess
DSL’s,2010-01-01,Languages,23,
Javascript as a firstclass language,2010-01-01,Languages,24,
Build pipelines,2010-04-01,,1,Adopt
Emergent design,2010-04-01,,2,Adopt
Evolutionary DB,2010-04-01,,3,Adopt
Web as platform,2010-04-01,,4,Adopt
Automation of technical tests,2010-04-01,,5,Trial
Service choreography,2010-04-01,,6,Trial
Lean software development,2010-04-01,,7,Trial
Continuous deployment,2010-04-01,,8,Trial
Visualization and metrics,2010-04-01,,9,Trial
Polyglot programming,2010-04-01,,10,Trial
Incremental data warehousing,2010-04-01,,11,Assess
OAuth,2010-04-01,,12,Assess
Scrum certification,2010-04-01,,13,
ASP.NET MVC,2010-04-01,Tools,14,Adopt
Subversion,2010-04-01,Tools,15,Adopt
Squid,2010-04-01,Tools,16,Adopt
Message buses without smarts,2010-04-01,Tools,17,Trial
Next-gen test tools,2010-04-01,Tools,18,Trial
Neo4j,2010-04-01,Tools,19,Trial
mongoDB,2010-04-01,Tools,20,Trial
Distributed version control,2010-04-01,Tools,21,Trial
NoSQL,2010-04-01,Tools,22,
RDF triple stores,2010-04-01,Tools,23,Assess
Restfulie,2010-04-01,Tools,24,Assess
Visualizations for business data,2010-04-01,Tools,25,Assess
GitHub,2010-04-01,Tools,26,Assess
Cross mobile platforms,2010-04-01,Tools,27,Assess
ESB,2010-04-01,Tools,28,Hold
Language workbenches,2010-04-01,Tools,29,Hold
IE6 end of life,2010-04-01,Platforms,40,Adopt
Platform roadmaps,2010-04-01,Platforms,41,Adopt
ALT.NET,2010-04-01,Platforms,42,Adopt
iPhone,2010-04-01,Platforms,43,Adopt
Cloud,2010-04-01,Platforms,44,Adopt
JVM as platform,2010-04-01,Platforms,45,Adopt
android,2010-04-01,Platforms,46,Trial
EC2 & S3,2010-04-01,Platforms,47,Trial
Location based services,2010-04-01,Platforms,48,Assess
Large format mobile devices,2010-04-01,Platforms,49,Assess
Facebook as business platform,2010-04-01,Platforms,50,Assess
Google as corporate platform,2010-04-01,Platforms,51,Assess
Application appliances,2010-04-01,Platforms,52,Assess
Google App Engine,2010-04-01,Platforms,53,Assess
mobile web,2010-04-01,Platforms,54,Assess
Rich Internet Applications,2010-04-01,Platforms,55,Hold
Azure,2010-04-01,Platforms,56,Hold
GWT,2010-04-01,Platforms,57,Hold
IE8,2010-04-01,Platforms,58,Hold
WS-* beyond basic profile,2010-04-01,Platforms,59,Hold
C# 4.0,2010-04-01,Languages,30,Adopt
Ruby/Jruby,2010-04-01,Languages,31,Adopt
Javascript as a first-class language,2010-04-01,Languages,32,Adopt
DSLs,2010-04-01,Languages,33,Trial
Groovy,2010-04-01,Languages,34,Trial
Java language end of life,2010-04-01,Languages,35,Assess
F#,2010-04-01,Languages,36,Assess
Clojure,2010-04-01,Languages,37,Assess
Scala,2010-04-01,Languages,38,Assess
HTML 5,2010-04-01,Languages,39,Assess
Database based integration,2010-08-01,Techniques,1,Hold
Scrum certification,2010-08-01,Techniques,2,Hold
